id,zip,amt
1,"03256",0
2,"03249",0
3,"03853",0
4,"03860",0
5,"03470",0
6,"03441",0
7,"03451",0
8,"03581",0
9,"03597",0
10,"03285",0
11,"03586",0
12,"03245",0
13,"03103",0
14,"03064",0
15,"03084",0
16,"03242",0
17,"03231",0
18,"03106",0
19,"03224",0
20,"03258",0
21,"03079",0
22,"03827",0
23,"03862",0
24,"03291",0
25,"03855",0
26,"03884",0
27,"03753",0
28,"03226",0
29,"03875",0
30,"03872",0
31,"03813",0
32,"03818",0
33,"03847",0
34,"03832",0
35,"03846",0
36,"03465",0
37,"03447",0
38,"03444",0
39,"03588",0
40,"03584",0
41,"03768",0
42,"03771",0
43,"03062",0
44,"03076",0
45,"03086",0
46,"03047",0
47,"03287",0
48,"03857",0
49,"03087",0
50,"03885",0
51,"03873",0
52,"03811",0
53,"03874",0
54,"03870",0
55,"03842",0
56,"03854",0
57,"03820",0
58,"03852",0
59,"03743",0
60,"03276",0
61,"03237",0
62,"03254",0
63,"03886",0
64,"03887",0
65,"03836",0
66,"03464",0
67,"03457",0
68,"03448",0
69,"03570",0
70,"03582",0
71,"03583",0
72,"03266",0
73,"03574",0
74,"03222",0
75,"03777",0
76,"03063",0
77,"03052",0
78,"03440",0
79,"03303",0
80,"03257",0
81,"03233",0
82,"03046",0
83,"03801",0
84,"03865",0
85,"03077",0
86,"03856",0
87,"03037",0
88,"03840",0
89,"03848",0
90,"03878",0
91,"03605",0
92,"03781",0
93,"03607",0
94,"03837",0
95,"03246",0
96,"03461",0
97,"03445",0
98,"03455",0
99,"03604",0
100,"03443",0
101,"03458",0
102,"03595",0
103,"03598",0
104,"03590",0
105,"03223",0
106,"03264",0
107,"03262",0
108,"03779",0
109,"03293",0
110,"03101",0
111,"03060",0
112,"03048",0
113,"03442",0
114,"03304",0
115,"03235",0
116,"03275",0
117,"03833",0
118,"03290",0
119,"03038",0
120,"03852",0
121,"03861",0
122,"03867",0
123,"03835",0
124,"03869",0
125,"03601",0
126,"03809",0
127,"03227",0
128,"03864",0
129,"03602",0
130,"03609",0
131,"03462",0
132,"03466",0
133,"03575",0
134,"03576",0
135,"03774",0
136,"03785",0
137,"03215",0
138,"03071",0
139,"03221",0
140,"03263",0
141,"03234",0
142,"03278",0
143,"03273",0
144,"03036",0
145,"03053",0
146,"03868",0
147,"03280",0
148,"03220",0
149,"03225",0
150,"03218",0
151,"03816",0
152,"03850",0
153,"03817",0
154,"03883",0
155,"03838",0
156,"03450",0
157,"03741",0
158,"03765",0
159,"03240",0
160,"03251",0
161,"03585",0
162,"03217",0
163,"03104",0
164,"03102",0
165,"03043",0
166,"03244",0
167,"03449",0
168,"03307",0
169,"03216",0
170,"03230",0
171,"03032",0
172,"03871",0
173,"03253",0
174,"03269",0
175,"03814",0
176,"03259",0
177,"03830",0
178,"03890",0
179,"03467",0
180,"03608",0
181,"03452",0
182,"03456",0
183,"03593",0
184,"03766",0
185,"03279",0
186,"03740",0
187,"03580",0
188,"03241",0
189,"03282",0
190,"03109",0
191,"03051",0
192,"03054",0
193,"03082",0
194,"03070",0
195,"03045",0
196,"03049",0
197,"03031",0
198,"03301",0
199,"03229",0
200,"03268",0
201,"03260",0
202,"03243",0
203,"03042",0
204,"03034",0
205,"03826",0
206,"03819",0
207,"03044",0
208,"03844",0
209,"03839",0
210,"03782",0
211,"03603",0
212,"03773",0
213,"03284",0
214,"03751",0
215,"03745",0
216,"03810",0
217,"03845",0
218,"03882",0
219,"03812",0
220,"03849",0
221,"03431",0
222,"03446",0
223,"03592",0
224,",0
225,"03784",0
226,"03780",0
227,"03748",0
228,"03755",0
229,"03750",0
230,"03561",0
231,"03238",0
232,"03055",0
233,"03057",0
234,"03281",0
235,"03033",0
236,"03110",0
237,"03255",0
238,"03841",0
239,"03261",0
240,"03858",0
241,"03825",0
242,"03823",0
243,"03824",0
244,"03754",0
245,"03770",0
246,"03746",0
247,"03752",0
